GOTO,44275,0,44275
BBCA,19266,0,19266
BBRI,14113,0,14113
ADRO,11837,0,11837
ANTM,9840,0,9840
SIDO,9419,9840,19259
BUMI,7726,9840,17566
BMRI,7683,9840,17523
TLKM,7660,9840,17500
BRIS,6055,9840,15895
PGAS,5642,15895,21537
PTBA,5520,15895,21415
ASII,5143,15895,21038
ADMR,4889,15895,20784
FREN,4687,15895,20582
PGEO,4262,20582,24844
WIRG,3958,20582,24540
BBNI,3915,20582,24497
UNTR,3904,20582,24486
SMDR,3884,20582,24466
ACES,3793,24466,28259
SMIL,3739,24466,28205
BJTM,3716,24466,28182
ITMG,3646,24466,28112
MBMA,3464,24466,27930
UNVR,3322,27930,31252
DMAS,3120,27930,31050
BSSR,3096,27930,31026
COAL,3076,27930,31006
HRUM,2925,27930,30855
BSBK,2911,30855,33766
MEDC,2908,30855,33763
GIAA,2817,30855,33672
EMTK,2774,30855,33629
ARTO,2736,30855,33591
SRTG,2695,33591,36286
JPFA,2690,33591,36281
BMTR,2636,33591,36227
BBTN,2625,33591,36216
BRMS,2603,33591,36194
BUKA,2568,36194,38762
NCKL,2538,36194,38732
SCMA,2450,36194,38644
BTPS,2367,36194,38561
ADHI,2333,36194,38527
WINR,2317,38527,40844
BJBR,2300,38527,40827
BNGA,2259,38527,40786
INDY,2182,38527,40709
MDKA,2133,38527,40660
ELSA,2091,40660,42751
SLIS,2089,40660,42749
SMGR,2060,40660,42720
WSKT,2032,40660,42692
MPMX,2030,40660,42690
WIKA,2023,42690,44713
TINS,2019,42690,44709
ADCP,1993,42690,44683
TYRE,1974,42690,44664
INDF,1932,42690,44622
PBRX,1913,44622,46535
TOTL,1898,44622,46520
MNCN,1858,44622,46480
NANO,1765,44622,46387
BBYB,1723,44622,46345
POWR,1720,46345,48065
AMRT,1714,46345,48059
ISAP,1713,46345,48058
EXCL,1711,46345,48056
IPPE,1699,46345,48044
CBRE,1693,48044,49737
CPRO,1691,48044,49735
JATI,1676,48044,49720
KLBF,1666,48044,49710
LAJU,1664,48044,49708
MTEL,1637,49708,51345
ESSA,1628,49708,51336
INKP,1614,49708,51322
MENN,1603,49708,51311
RAAM,1593,49708,51301
AGRO,1589,51301,52890
BBKP,1578,51301,52879
HMSP,1568,51301,52869
ERAA,1517,51301,52818
IATA,1511,51301,52812
AKRA,1480,52812,54292
ZATA,1455,52812,54267
NINE,1424,52812,54236
BAUT,1401,52812,54213
NICL,1387,52812,54199
NTBK,1387,54199,55586
PWON,1380,54199,55579
DEWA,1373,54199,55572
KRYA,1366,54199,55565
SICO,1335,54199,55534
GZCO,1330,55534,56864
OMED,1324,55534,56858
MPPA,1323,55534,56857
SAGE,1322,55534,56856
ELIT,1308,55534,56842
TOWR,1304,56842,58146
PNBS,1272,58146,59418
LSIP,1271,59418,60689
AUTO,1268,60689,61957
BOSS,1251,61957,63208
MPXL,1237,63208,64445
NISP,1234,64445,65679
DOOH,1232,65679,66911
HEXA,1228,66911,68139
KBAG,1203,68139,69342
DILD,1199,69342,70541
TAPG,1197,70541,71738
SOUL,1196,71738,72934
NSSS,1194,72934,74128
ICBP,1192,74128,75320
WMUU,1187,75320,76507
ASHA,1185,76507,77692
AWAN,1171,77692,78863
PNLF,1170,78863,80033
ENRG,1163,80033,81196
BHIT,1159,81196,82355
AALI,1147,82355,83502
INCO,1142,83502,84644
BRPT,1112,84644,85756
RAFI,1105,85756,86861
BCAP,1087,86861,87948
BELI,1085,87948,89033
BABP,1084,89033,90117
MYOR,1084,90117,91201
BKSL,1082,91201,92283
TOBA,1076,92283,93359
PTPP,1075,93359,94434
MLPL,1054,94434,95488
OLIV,1045,95488,96533
PIPA,1043,96533,97576
FUTR,1019,97576,98595
GJTL,1017,98595,99612
CUAN,1013,99612,100625
IPTV,1009,100625,101634
BSDE,1000,101634,102634
BMBL,967,102634,103601
APLN,961,103601,104562
ABMM,952,104562,105514
DOID,950,105514,106464
CPIN,938,106464,107402
MEDS,929,107402,108331
ASSA,910,108331,109241
JKON,910,109241,110151
LAND,906,110151,111057
MTDL,901,111057,111958
NETV,900,111958,112858
PRAY,894,112858,113752
TKIM,892,113752,114644
MIDI,880,114644,115524
TOOL,863,115524,116387
JARR,860,116387,117247
BBHI,844,117247,118091
BIRD,844,118091,118935
BEST,840,118935,119775
ARNA,837,119775,120612
ZINC,836,120612,121448
FWCT,823,121448,122271
BAJA,819,122271,123090
HAJJ,814,123090,123904
BIPI,813,123904,124717
HDIT,808,124717,125525
PADA,805,125525,126330
LPPF,797,126330,127127
SMRA,794,127127,127921
CTRA,786,127921,128707
AMMS,785,128707,129492
JAYA,776,129492,130268
PPRO,776,130268,131044
BGTG,757,131044,131801
ARKA,749,131801,132550
MAPI,749,132550,133299
GGRM,748,133299,134047
HILL,745,134047,134792
MBAP,739,134792,135531
KAEF,734,135531,136265
KKGI,734,136265,136999
PTMP,727,136999,137726
CFIN,726,137726,138452
KLIN,716,138452,139168
SGER,709,139168,139877
HOPE,707,139877,140584
CHEM,697,140584,141281
ELPI,697,141281,141978
VAST,695,141978,142673
ISSP,682,142673,143355
BEKS,678,143355,144033
JSMR,678,144033,144711
ASRI,676,144711,145387
CLEO,672,145387,146059
SMMT,669,146059,146728
BDMN,661,146728,147389
KIOS,661,147389,148050
MDLN,656,148050,148706
KREN,654,148706,149360
ULTJ,653,149360,150013
PURA,648,150013,150661
SEMA,648,150661,151309
KRAS,643,151309,151952
MORA,640,151952,152592
IBOS,638,152592,153230
ANJT,630,153230,153860
TPMA,618,153860,154478
TBLA,614,154478,155092
TOTO,614,155092,155706
TRON,612,155706,156318
CMPP,605,156318,156923
KETR,605,156923,157528
SIMP,603,157528,158131
KPIG,602,158131,158733
WMPP,592,158733,159325
WIFI,586,159325,159911
ASLC,584,159911,160495
MKTR,583,160495,161078
GTRA,574,161078,161652
WEGE,574,161652,162226
HALO,571,162226,162797
SWID,571,162797,163368
PTDU,568,163368,163936
WINE,567,163936,164503
AXIO,557,164503,165060
NASI,552,165060,165612
PDPP,550,165612,166162
RALS,550,166162,166712
KDTN,547,166712,167259
AMAR,545,167259,167804
GPRA,544,167804,168348
YELO,543,168348,168891
WTON,537,168891,169428
HATM,529,169428,169957
ABBA,527,169957,170484
AVIA,522,170484,171006
GOOD,522,171006,171528
BYAN,521,171528,172049
REAL,516,172049,172565
MARK,509,172565,173074
TRGU,507,173074,173581
OKAS,506,173581,174087
INCF,504,174087,174591
EURO,499,174591,175090
IRSX,496,175090,175586
DSNG,493,175586,176079
HRTA,489,176079,176568
DEWI,486,176568,177054
GULA,483,177054,177537
MMIX,479,177537,178016
MARI,477,178016,178493
META,475,178493,178968
BSML,473,178968,179441
PEVE,473,179441,179914
TSPC,473,179914,180387
CARS,469,180387,180856
BNBR,468,180856,181324
IPCC,463,181324,181787
HAIS,461,181787,182248
WOOD,458,182248,182706
NAYZ,457,182706,183163
HOKI,454,183163,183617
TBIG,451,183617,184068
WIIM,446,184068,184514
SPTO,441,184514,184955
LEAD,437,184955,185392
SDMU,433,185392,185825
EAST,430,185825,186255
BIKE,429,186255,186684
BACA,427,186684,187111
CHIP,427,187111,187538
BEER,426,187538,187964
LPKR,422,187964,188386
TOYS,417,188386,188803
SMBR,412,188803,189215
CAMP,410,189215,189625
ESIP,406,189625,190031
PNIN,404,190031,190435
SPMA,404,190435,190839
WOWS,404,190839,191243
INTP,401,191243,191644
PTRO,401,191644,192045
SUNI,401,192045,192446
KJEN,400,192446,192846
ADMF,396,192846,193242
CMRY,395,193242,193637
DIGI,395,193637,194032
CRAB,390,194032,194422
EKAD,388,194422,194810
WINS,386,194810,195196
KOTA,385,195196,195581
TLDN,385,195581,195966
GEMS,382,195966,196348
PANI,375,196348,196723
MIKA,374,196723,197097
AGII,373,197097,197470
INDR,372,197470,197842
TMAS,372,197842,198214
ARKO,371,198214,198585
DMMX,368,198585,198953
AISA,363,198953,199316
BVIC,363,199316,199679
PSKT,362,199679,200041
CAKK,358,200041,200399
BPTR,357,200399,200756
DKFT,353,200756,201109
FILM,353,201109,201462
KIJA,352,201462,201814
PANS,351,201814,202165
BWPT,349,202165,202514
GDST,349,202514,202863
TRUE,349,202863,203212
KOBX,347,203212,203559
BDKR,346,203559,203905
LMAS,345,203905,204250
TAYS,345,204250,204595
MLIA,344,204595,204939
BFIN,343,204939,205282
IPCM,340,205282,205622
TEBE,340,205622,205962
BELL,335,205962,206297
JAST,335,206297,206632
UFOE,335,206632,206967
KING,333,206967,207300
AYLS,331,207300,207631
CBPE,330,207631,207961
WEHA,329,207961,208290
HKMU,327,208290,208617
ARCI,326,208617,208943
BNII,325,208943,209268
FIRE,324,209268,209592
KKES,323,209592,209915
TUGU,323,209915,210238
SMSM,319,210238,210557
HEAL,318,210557,210875
SOCI,316,210875,211191
IMAS,312,211191,211503
KEEN,311,211503,211814
WGSH,310,211814,212124
PSSI,308,212124,212432
ENZO,306,212432,212738
PRDA,306,212738,213044
STAA,304,213044,213348
AMAN,303,213348,213651
RAJA,302,213651,213953
TNCA,302,213953,214255
FPNI,300,214255,214555
TOPS,300,214555,214855
AHAP,297,214855,215152
KUAS,297,215152,215449
SDPC,297,215449,215746
MPOW,295,215746,216041
CENT,294,216041,216335
DRMA,292,216335,216627
JSKY,290,216627,216917
SMDM,288,216917,217205
SILO,287,217205,217492
CLPI,286,217492,217778
INDX,285,217778,218063
NELY,285,218063,218348
PACK,283,218348,218631
PICO,283,218631,218914
SBMA,282,218914,219196
BESS,278,219196,219474
BANK,273,219474,219747
ISAT,272,219747,220019
MTPS,272,220019,220291
OBMD,272,220291,220563
DGNS,269,220563,220832
GTSI,264,220832,221096
BAPA,260,221096,221356
INDO,259,221356,221615
MDKI,258,221615,221873
PMMP,254,221873,222127
SAME,253,222127,222380
PPGL,252,222380,222632
PALM,250,222632,222882
TECH,248,222882,223130
PSAB,246,223130,223376
ESTA,245,223376,223621
WSBP,244,223621,223865
PNBN,243,223865,224108
CSRA,240,224108,224348
RBMS,239,224348,224587
TRIN,236,224587,224823
AGRS,235,224823,225058
NPGF,232,225058,225290
SQMI,232,225290,225522
ROTI,230,225522,225752
BNBA,229,225752,225981
GMFI,228,225981,226209
MAPA,228,226209,226437
TRUK,228,226437,226665
RUIS,227,226665,226892
IKAN,225,226892,227117
SBAT,225,227117,227342
BEBS,223,227342,227565
ACST,221,227565,227786
SSMS,220,227786,228006
VTNY,220,228006,228226
DFAM,219,228226,228445
BCIP,218,228445,228663
NRCA,218,228663,228881
KAYU,214,228881,229095
PCAR,214,229095,229309
TPIA,214,229309,229523
DYAN,213,229523,229736
MTMH,213,229736,229949
CBMF,212,229949,230161
ADES,211,230161,230372
MTWI,211,230372,230583
PBSA,210,230583,230793
BOLA,209,230793,231002
PBID,208,231002,231210
RMKE,208,231210,231418
RCCC,207,231418,231625
ASGR,204,231625,231829
BMHS,203,231829,232032
DLTA,203,232032,232235
WAPO,203,232235,232438
KINO,201,232438,232639
MCOL,200,232639,232839
APEX,199,232839,233038
BULL,199,233038,233237
BBRM,197,233237,233434
BUAH,197,233434,233631
MERK,197,233631,233828
TAXI,194,233828,234022
BUDI,193,234022,234215
ARII,190,234215,234405
DSFI,190,234405,234595
ENAK,190,234595,234785
SRSN,190,234785,234975
MAIN,189,234975,235164
OASA,188,235164,235352
ALTO,184,235352,235536
EPAC,183,235536,235719
NIKL,183,235719,235902
DNAR,182,235902,236084
LUCK,182,236084,236266
NZIA,182,236266,236448
PRIM,180,236448,236628
OPMS,178,236628,236806
LTLS,177,236806,236983
TAMA,176,236983,237159
MEGA,175,237159,237334
LABA,174,237334,237508
TRIM,173,237508,237681
PPRE,171,237681,237852
TRIS,171,237852,238023
JRPT,170,238023,238193
